"","OldName1","OldName2","FullName","OuterLiner","Flute1","MidLiner","Flute2","InnerLiner","NewName1","NewName3","calliper","theoreticalECT"
"1","T125/T125","B","TT 111 B","DU085","DU085",NA,NA,"DU085","TT","B",3,3.708056
"2","T125/T125","B150WB","TT 112 B","DU085","DU125",NA,NA,"DU085","TT","B",3,4.0396825
"3","T125/T125","B130HP","TT 113 B","DU085","HP130",NA,NA,"DU085","TT","B",3,4.33869
"4","T125/T125","B160HP","TT 114 B","DU085","HP160",NA,NA,"DU085","TT","B",3,4.621388
"5","T125/T125","C","TT 111 C","DU085","DU085",NA,NA,"DU085","TT","C",4,3.767816
"6","T125/T125","C150WB","TT 112 C","DU085","DU125",NA,NA,"DU085","TT","C",4,4.1247575
"7","T125/T125","C130HP","TT 113 C","DU085","HP130",NA,NA,"DU085","TT","C",4,4.44659
"8","T125/T125","C160HP","TT 114 C","DU085","HP160",NA,NA,"DU085","TT","C",4,4.750868
"9","T125/T125","DW","TT 111 BC","DU085","DU085","DU085","DU085","DU085","TT","BC",8,5.148272
"10","T125/T125","DW150WB","TT 112 BC","DU085","DU125","DU085","DU125","DU085","TT","BC",8,5.83684
"11","T125/T125","DW130HP","TT 113 BC","DU085","HP130","DU085","HP130","DU085","TT","BC",8,6.45768
"12","T125/T125","DW160HP","TT 114 BC","DU085","HP160","DU085","HP160","DU085","TT","BC",8,7.044656
"13","K125/T125","B","KT 111 B","KL100","DU085",NA,NA,"DU085","KT","B",3,3.857456
"14","K125/T125","B150WB","KT 112 B","KL100","DU125",NA,NA,"DU085","KT","B",3,4.1890825
"15","K125/T125","B130HP","KT 113 B","KL100","HP130",NA,NA,"DU085","KT","B",3,4.48809
"16","K125/T125","B160HP","KT 114 B","KL100","HP160",NA,NA,"DU085","KT","B",3,4.770788
"17","K125/T125","C","KT 111 C","KL100","DU085",NA,NA,"DU085","KT","C",4,3.917216
"18","K125/T125","C150WB","KT 112 C","KL100","DU125",NA,NA,"DU085","KT","C",4,4.2741575
"19","K125/T125","C130HP","KT 113 C","KL100","HP130",NA,NA,"DU085","KT","C",4,4.59599
"20","K125/T125","C160HP","KT 114 C","KL100","HP160",NA,NA,"DU085","KT","C",4,4.900268
"21","K125/T125","DW","KT 111 BC","KL100","DU085","DU085","DU085","DU085","KT","BC",8,5.297672
"22","K125/T125","DW150WB","KT 112 BC","KL100","DU125","DU085","DU125","DU085","KT","BC",8,5.98624
"23","K125/T125","DW130HP","KT 113 BC","KL100","HP130","DU085","HP130","DU085","KT","BC",8,6.60708
"24","K125/T125","DW160HP","KT 114 BC","KL100","HP160","DU085","HP160","DU085","KT","BC",8,7.194056
"25","K125/K125","B","KK 111 B","KL100","DU085",NA,NA,"KL100","KK","B",3,4.006856
"26","K125/K125","B150WB","KK 112 B","KL100","DU125",NA,NA,"KL100","KK","B",3,4.3384825
"27","K125/K125","B130HP","KK 113 B","KL100","HP130",NA,NA,"KL100","KK","B",3,4.63749
"28","K125/K125","B160HP","KK 114 B","KL100","HP160",NA,NA,"KL100","KK","B",3,4.920188
"29","K125/K125","C","KK 111 C","KL100","DU085",NA,NA,"KL100","KK","C",4,4.066616
"30","K125/K125","C150WB","KK 112 C","KL100","DU125",NA,NA,"KL100","KK","C",4,4.4235575
"31","K125/K125","C130HP","KK 113 C","KL100","HP130",NA,NA,"KL100","KK","C",4,4.74539
"32","K125/K125","C160HP","KK 114 C","KL100","HP160",NA,NA,"KL100","KK","C",4,5.049668
"33","K125/K125","DW","KK 111 BC","KL100","DU085","DU085","DU085","KL100","KK","BC",8,5.447072
"34","K125/K125","DW150WB","KK 112 BC","KL100","DU125","DU085","DU125","KL100","KK","BC",8,6.13564
"35","K125/K125","DW130HP","KK 113 BC","KL100","HP130","DU085","HP130","KL100","KK","BC",8,6.75648
"36","K125/K125","DW160HP","KK 114 BC","KL100","HP160","DU085","HP160","KL100","KK","BC",8,7.343456
"37","T150/T150","B","TT 221 B","DU125","DU085",NA,NA,"DU125","TT","B",3,4.214356
"38","T150/T150","B150WB","TT 222 B","DU125","DU125",NA,NA,"DU125","TT","B",3,4.5459825
"39","T150/T150","B130HP","TT 223 B","DU125","HP130",NA,NA,"DU125","TT","B",3,4.84499
"40","T150/T150","B160HP","TT 224 B","DU125","HP160",NA,NA,"DU125","TT","B",3,5.127688
"41","T150/T150","C","TT 221 C","DU125","DU085",NA,NA,"DU125","TT","C",4,4.274116
"42","T150/T150","C150WB","TT 222 C","DU125","DU125",NA,NA,"DU125","TT","C",4,4.6310575
"43","T150/T150","C130HP","TT 223 C","DU125","HP130",NA,NA,"DU125","TT","C",4,4.95289
"44","T150/T150","C160HP","TT 224 C","DU125","HP160",NA,NA,"DU125","TT","C",4,5.257168
"45","T150/T150","DW","TT 221 BC","DU125","DU085","DU085","DU085","DU125","TT","BC",8,5.654572
"46","T150/T150","DW150WB","TT 222 BC","DU125","DU125","DU085","DU125","DU125","TT","BC",8,6.34314
"47","T150/T150","DW130HP","TT 223 BC","DU125","HP130","DU085","HP130","DU125","TT","BC",8,6.96398
"48","T150/T150","DW160HP","TT 224 BC","DU125","HP160","DU085","HP160","DU125","TT","BC",8,7.550956
"49","K150/T150","B","KT 221 B","KL130","DU085",NA,NA,"DU125","KT","B",3,4.401106
"50","K150/T150","B150WB","KT 222 B","KL130","DU125",NA,NA,"DU125","KT","B",3,4.7327325
"51","K150/T150","B130HP","KT 223 B","KL130","HP130",NA,NA,"DU125","KT","B",3,5.03174
"52","K150/T150","B160HP","KT 224 B","KL130","HP160",NA,NA,"DU125","KT","B",3,5.314438
"53","K150/T150","C","KT 221 C","KL130","DU085",NA,NA,"DU125","KT","C",4,4.460866
"54","K150/T150","C150WB","KT 222 C","KL130","DU125",NA,NA,"DU125","KT","C",4,4.8178075
"55","K150/T150","C130HP","KT 223 C","KL130","HP130",NA,NA,"DU125","KT","C",4,5.13964
"56","K150/T150","C160HP","KT 224 C","KL130","HP160",NA,NA,"DU125","KT","C",4,5.443918
"57","K150/T150","DW","KT 221 BC","KL130","DU085","DU085","DU085","DU125","KT","BC",8,5.841322
"58","K150/T150","DW150WB","KT 222 BC","KL130","DU125","DU085","DU125","DU125","KT","BC",8,6.52989
"59","K150/T150","DW130HP","KT 223 BC","KL130","HP130","DU085","HP130","DU125","KT","BC",8,7.15073
"60","K150/T150","DW160HP","KT 224 BC","KL130","HP160","DU085","HP160","DU125","KT","BC",8,7.737706
"61","K150/K150","B","KK 221 B","KL130","DU085",NA,NA,"KL130","KK","B",3,4.587856
"62","K150/K150","B150WB","KK 222 B","KL130","DU125",NA,NA,"KL130","KK","B",3,4.9194825
"63","K150/K150","B130HP","KK 223 B","KL130","HP130",NA,NA,"KL130","KK","B",3,5.21849
"64","K150/K150","B160HP","KK 224 B","KL130","HP160",NA,NA,"KL130","KK","B",3,5.501188
"65","K150/K150","C","KK 221 C","KL130","DU085",NA,NA,"KL130","KK","C",4,4.647616
"66","K150/K150","C150WB","KK 222 C","KL130","DU125",NA,NA,"KL130","KK","C",4,5.0045575
"67","K150/K150","C130HP","KK 223 C","KL130","HP130",NA,NA,"KL130","KK","C",4,5.32639
"68","K150/K150","C160HP","KK 224 C","KL130","HP160",NA,NA,"KL130","KK","C",4,5.630668
"69","K150/K150","DW","KK 221 BC","KL130","DU085","DU085","DU085","KL130","KK","BC",8,6.028072
"70","K150/K150","DW150WB","KK 222 BC","KL130","DU125","DU085","DU125","KL130","KK","BC",8,6.71664
"71","K150/K150","DW130HP","KK 223 BC","KL130","HP130","DU085","HP130","KL130","KK","BC",8,7.33748
"72","K150/K150","DW160HP","KK 224 BC","KL130","HP160","DU085","HP160","KL130","KK","BC",8,7.924456
"73","T200/T200","B","TT 331 B","DU145","DU085",NA,NA,"DU145","TT","B",3,4.463356
"74","T200/T200","B150WB","TT 332 B","DU145","DU125",NA,NA,"DU145","TT","B",3,4.7949825
"75","T200/T200","B130HP","TT 333 B","DU145","HP130",NA,NA,"DU145","TT","B",3,5.09399
"76","T200/T200","B160HP","TT 334 B","DU145","HP160",NA,NA,"DU145","TT","B",3,5.376688
"77","T200/T200","C","TT 331 C","DU145","DU085",NA,NA,"DU145","TT","C",4,4.523116
